document_completeness,required_field_completeness,eligibility_pass_ratio,budget_consistency,certificate_validity,contradiction_count,duplicate_similarity,suspicious_indicator_count,document_quality,proposal_quality,project_feasibility,environmental_impact,extraction_confidence,risk_class,risk_score,quality_score
0.4,0.4,0.3,0.39,0.5,5,0.57,1,0.31,0.32,0.51,0.32,0.5,HIGH,87.6,26.1
0.62,0.62,0.75,0.57,0.69,2,0.37,1,0.51,0.72,0.61,0.65,0.72,MEDIUM,42.4,53.5
0.41,0.41,0.3,0.33,0.21,7,0.39,4,0.54,0.3,0.36,0.2,0.5,HIGH,100.0,23.7
0.7,0.77,0.59,0.68,1.0,4,0.25,3,0.65,0.5,0.46,0.56,0.74,MEDIUM,43.9,54.3
0.75,0.81,0.93,0.88,0.79,1,0.39,0,0.77,0.79,0.67,0.76,0.6,LOW,20.6,59.6
0.9,0.86,0.78,0.66,0.87,0,0.0,1,0.76,0.91,0.97,1.0,1.0,LOW,0.4,78.9
0.4,0.55,0.31,0.63,0.29,1,0.59,3,0.5,0.34,0.54,0.41,0.5,HIGH,78.7,47.8
0.4,0.4,0.33,0.5,0.38,3,0.66,1,0.3,0.32,0.34,0.29,0.5,HIGH,75.3,25.7
0.89,0.93,0.9,0.7,0.91,1,0.13,1,0.74,0.88,0.85,0.86,0.9,LOW,11.1,73.9
0.45,0.63,0.52,0.42,0.68,6,0.32,2,0.64,0.46,0.44,0.43,0.6,HIGH,68.7,46.3
0.47,0.43,0.58,0.63,0.46,2,0.42,1,0.44,0.52,0.5,0.48,0.5,MEDIUM,57.5,31.8
0.58,0.66,0.56,0.65,0.8,3,0.46,2,0.66,0.48,0.74,0.63,0.81,MEDIUM,47.2,60.1
0.95,0.99,0.9,0.73,0.81,0,0.04,1,0.82,0.71,0.81,0.71,0.86,LOW,1.9,78.1
0.4,0.4,0.6,0.42,0.26,5,0.42,2,0.36,0.3,0.29,0.4,0.5,HIGH,81.8,22.4
0.4,0.4,0.3,0.28,0.2,10,0.6,4,0.3,0.5,0.26,0.25,0.5,HIGH,100.0,13.3
0.93,0.8,0.91,1.0,0.9,1,0.04,0,0.85,0.91,0.85,0.81,0.8,LOW,0.0,87.6
0.89,0.87,0.86,0.7,0.97,2,0.0,2,0.74,0.66,1.0,0.68,0.99,LOW,0.4,71.2
0.71,0.6,0.71,0.73,0.7,9,0.24,3,0.52,0.7,0.57,0.79,0.63,MEDIUM,54.2,69.6
0.66,0.73,0.78,0.67,0.7,2,0.0,7,0.67,0.59,0.51,0.83,0.69,MEDIUM,48.9,59.5
0.87,0.81,0.82,0.93,1.0,2,0.08,2,0.95,1.0,0.71,0.89,0.78,LOW,9.6,65.5
0.98,0.92,0.77,1.0,0.92,3,0.36,1,0.91,0.88,0.72,0.95,1.0,LOW,14.6,82.2
0.53,0.72,0.3,0.58,0.22,2,0.42,2,0.55,0.33,0.37,0.48,0.6,HIGH,71.7,39.5
0.58,0.69,0.67,0.8,0.62,2,0.27,1,0.66,0.65,0.64,0.67,0.9,MEDIUM,35.3,67.2
0.8,0.92,0.79,0.74,0.71,2,0.35,2,0.82,1.0,0.77,0.85,0.79,LOW,21.3,76.9
0.67,0.46,0.73,0.53,0.69,3,0.25,1,0.58,0.64,0.56,0.53,0.58,MEDIUM,41.0,69.4
0.46,0.64,0.62,0.74,0.45,2,0.48,1,0.62,0.45,0.64,0.35,0.61,HIGH,59.8,42.2
0.4,0.4,0.44,0.25,0.43,4,0.29,4,0.3,0.38,0.25,0.2,0.5,HIGH,89.7,14.1
0.73,0.91,0.84,0.79,0.64,0,0.16,3,0.72,0.6,0.9,0.53,0.62,LOW,26.4,76.3
0.63,0.56,0.74,0.47,0.46,4,0.25,5,0.59,0.74,0.58,0.46,0.66,MEDIUM,60.2,60.9
0.43,0.45,0.3,0.25,0.46,5,0.79,8,0.42,0.3,0.43,0.65,0.5,HIGH,100.0,30.5
0.41,0.4,0.36,0.25,0.29,5,0.53,4,0.3,0.43,0.25,0.3,0.5,HIGH,100.0,14.5
0.4,0.43,0.51,0.45,0.51,5,0.52,5,0.4,0.3,0.48,0.41,0.5,HIGH,85.6,25.4
0.51,0.47,0.55,0.6,0.97,1,0.45,1,0.69,0.63,0.63,0.47,0.67,MEDIUM,38.8,57.8
0.98,0.87,0.94,1.0,0.97,0,0.19,0,0.93,0.62,0.89,0.78,0.82,LOW,0.0,81.8
0.63,0.53,0.6,0.49,0.58,3,0.34,4,0.66,0.57,0.72,0.49,0.67,MEDIUM,57.9,51.1
0.64,0.79,0.58,0.58,0.52,1,0.32,2,0.77,0.6,0.5,0.84,0.65,MEDIUM,43.3,58.4
0.83,0.95,0.81,1.0,0.97,0,0.22,2,0.77,0.78,0.71,0.68,0.8,LOW,12.1,61.3
0.4,0.4,0.3,0.25,0.55,4,0.52,5,0.3,0.35,0.39,0.34,0.5,HIGH,100.0,25.3
0.69,0.44,0.71,0.68,0.69,1,0.68,4,0.58,0.74,0.69,0.66,0.53,MEDIUM,52.5,28.3
0.4,0.4,0.37,0.48,0.34,4,0.58,3,0.32,0.44,0.33,0.32,0.5,HIGH,86.8,23.5
0.62,0.51,0.6,0.56,0.61,1,0.38,3,0.53,0.69,0.53,0.59,0.63,MEDIUM,57.1,47.3
0.4,0.4,0.3,0.35,0.42,4,0.29,1,0.39,0.3,0.49,0.25,0.5,MEDIUM,71.5,37.0
0.92,0.97,1.0,0.86,0.87,2,0.41,1,0.87,0.75,0.99,0.85,1.0,LOW,8.4,80.8
0.9,1.0,1.0,0.99,0.73,0,0.0,0,0.85,1.0,0.67,1.0,0.9,LOW,0.0,82.6
0.4,0.43,0.3,0.25,0.28,7,0.43,8,0.36,0.3,0.25,0.2,0.5,HIGH,100.0,21.4
0.81,0.75,0.99,0.76,0.69,2,0.0,0,1.0,0.71,0.91,1.0,0.96,LOW,7.3,80.3
0.4,0.4,0.4,0.25,0.4,8,0.71,4,0.46,0.3,0.3,0.31,0.5,HIGH,100.0,39.9
0.93,1.0,0.82,0.63,0.92,0,0.0,1,0.9,0.83,0.65,1.0,0.85,LOW,6.6,88.2
0.9,0.81,0.97,0.99,0.78,0,0.0,0,0.83,1.0,0.84,0.85,1.0,LOW,0.0,99.3
0.58,0.53,0.39,0.34,0.35,3,0.79,1,0.45,0.51,0.63,0.45,0.52,HIGH,80.1,42.1
0.89,0.89,0.84,0.94,0.98,0,0.0,0,1.0,1.0,0.76,1.0,0.97,LOW,7.7,73.1
0.4,0.4,0.3,0.25,0.41,7,0.76,5,0.3,0.37,0.25,0.28,0.5,HIGH,100.0,19.6
1.0,0.98,0.87,0.79,0.66,1,0.13,0,0.87,1.0,0.97,1.0,1.0,LOW,0.0,79.5
0.76,0.63,0.58,0.63,0.56,1,0.45,2,0.6,0.72,0.57,0.66,0.67,LOW,39.3,43.2
0.49,0.64,0.59,0.79,0.48,2,0.39,1,0.49,0.61,0.53,0.6,0.67,MEDIUM,55.8,52.5
0.72,0.7,0.75,0.97,0.96,3,0.0,2,0.7,0.85,0.79,0.93,0.7,LOW,17.6,74.2
0.48,0.68,0.44,0.56,0.46,3,0.17,1,0.48,0.66,0.94,0.63,0.66,MEDIUM,45.4,42.5
0.47,0.65,0.52,0.63,0.67,1,0.31,3,0.7,0.49,0.56,0.61,0.53,MEDIUM,44.9,32.5
0.57,0.63,0.77,0.91,0.96,1,0.14,5,0.68,0.72,0.53,0.53,0.79,LOW,34.7,66.6
0.67,0.67,0.49,0.6,0.7,5,0.68,3,0.63,0.64,0.59,0.68,0.73,HIGH,70.9,50.6
0.8,0.93,0.98,0.72,0.81,1,0.1,0,0.64,0.93,0.87,1.0,0.82,LOW,0.0,79.1
0.95,0.98,0.95,0.97,0.8,3,0.14,1,0.94,0.98,0.91,0.85,0.84,LOW,2.9,96.8
0.57,0.4,0.3,0.42,0.6,8,0.64,3,0.67,0.34,0.79,0.34,0.5,HIGH,92.0,55.1
0.4,0.4,0.3,0.47,0.34,4,0.52,3,0.3,0.42,0.25,0.44,0.5,HIGH,93.7,6.3
0.58,0.6,0.57,0.8,0.57,6,0.47,2,0.5,0.74,0.69,0.61,0.58,MEDIUM,68.0,38.3
0.55,0.52,0.8,0.59,0.51,1,0.02,1,0.48,0.6,0.52,0.72,0.67,MEDIUM,30.3,53.4
0.59,0.73,0.46,0.64,0.74,2,0.32,4,0.68,0.82,0.63,0.54,0.5,MEDIUM,54.1,58.5
0.68,0.49,0.48,0.64,0.52,0,0.27,4,0.49,0.36,0.59,0.98,0.57,MEDIUM,52.3,46.9
0.42,0.54,0.48,0.25,0.42,0,0.06,4,0.44,0.63,0.39,0.32,0.5,MEDIUM,61.1,41.8
0.86,0.7,0.74,0.81,0.93,1,0.35,0,0.87,0.82,1.0,0.76,0.79,LOW,24.4,73.1
0.4,0.4,0.3,0.25,0.2,8,0.79,3,0.3,0.3,0.45,0.2,0.5,HIGH,100.0,15.7
1.0,1.0,0.78,1.0,1.0,1,0.17,0,0.89,1.0,0.88,0.68,1.0,LOW,0.0,100.0
0.73,0.87,0.97,0.75,0.86,3,0.14,0,0.87,0.82,0.97,0.63,0.82,LOW,11.6,77.9
0.4,0.4,0.38,0.25,0.34,7,0.68,5,0.3,0.3,0.34,0.35,0.5,HIGH,100.0,30.2
0.81,0.98,0.83,0.95,1.0,0,0.08,0,0.97,0.86,0.96,1.0,0.99,LOW,0.6,99.4
0.71,0.78,0.66,0.62,0.54,4,0.35,1,0.81,0.81,0.68,0.42,0.82,MEDIUM,45.9,69.9
0.52,0.6,0.42,0.59,0.56,5,0.1,4,0.55,0.73,0.57,0.72,0.5,MEDIUM,58.3,38.2
0.47,0.63,0.76,0.71,0.65,4,0.16,2,0.64,0.66,0.68,0.9,0.68,MEDIUM,40.8,49.3
0.76,1.0,0.92,0.83,0.81,2,0.13,1,0.75,0.55,0.56,0.49,0.84,LOW,26.7,53.9
0.4,0.4,0.33,0.33,0.33,6,0.61,0,0.3,0.3,0.32,0.42,0.5,HIGH,89.4,17.9
0.4,0.51,0.3,0.27,0.2,8,0.12,1,0.3,0.37,0.44,0.2,0.5,HIGH,83.2,35.2
1.0,0.88,0.96,0.95,0.73,0,0.09,0,0.99,1.0,1.0,1.0,0.92,LOW,0.0,88.0
0.59,0.57,0.62,0.49,0.51,5,0.44,2,0.55,0.3,0.82,0.75,0.5,MEDIUM,57.3,60.9
0.81,0.69,0.69,0.93,0.69,1,0.11,2,0.94,0.92,0.64,0.78,0.95,LOW,23.5,100.0
0.61,0.6,0.57,0.68,0.59,3,0.27,5,0.37,0.6,0.43,0.43,0.63,HIGH,65.6,24.7
1.0,0.99,0.86,0.95,1.0,0,0.07,1,0.85,0.87,0.9,1.0,0.87,LOW,0.0,82.8
0.66,0.81,0.78,0.77,0.89,0,0.0,0,0.81,0.85,0.58,0.82,0.78,LOW,16.2,72.6
0.77,0.61,0.62,0.41,0.67,3,0.41,2,0.65,0.35,0.59,0.65,0.73,MEDIUM,49.8,49.6
0.53,0.42,0.54,0.52,0.42,5,0.35,1,0.53,0.4,0.4,0.37,0.5,MEDIUM,65.4,44.8
0.4,0.4,0.3,0.33,0.23,1,0.8,0,0.3,0.3,0.25,0.2,0.5,HIGH,82.0,21.4
0.4,0.4,0.3,0.25,0.37,4,0.48,3,0.3,0.3,0.25,0.38,0.5,HIGH,100.0,28.4
1.0,0.92,0.77,0.68,0.85,0,0.5,1,1.0,0.64,0.68,0.7,0.86,LOW,13.9,78.4
0.55,0.63,0.5,0.56,0.53,6,0.15,2,0.56,0.49,0.49,0.3,0.5,HIGH,66.0,33.2
0.74,0.67,0.58,0.85,0.73,2,0.49,1,0.61,0.81,0.34,0.69,0.6,MEDIUM,44.1,57.9
0.4,0.69,0.5,0.74,0.51,1,0.12,2,0.3,0.41,0.48,0.42,0.55,MEDIUM,48.5,69.9
0.65,0.87,0.82,0.87,0.96,0,0.3,0,0.85,0.83,0.75,0.87,0.97,LOW,9.9,77.0
0.4,0.4,0.3,0.49,0.28,5,0.52,2,0.3,0.34,0.57,0.32,0.5,HIGH,94.1,35.5
0.85,0.63,0.84,0.84,0.84,1,0.07,0,0.75,0.99,0.78,0.97,0.77,LOW,5.0,84.2
0.4,0.4,0.3,0.26,0.2,5,0.42,4,0.3,0.3,0.25,0.29,0.5,HIGH,100.0,25.5
0.4,0.4,0.3,0.31,0.2,8,0.5,3,0.41,0.31,0.25,0.23,0.5,HIGH,100.0,23.6
0.91,0.73,0.75,0.76,0.81,1,0.23,0,0.82,0.94,1.0,0.87,1.0,LOW,3.1,72.2
0.57,0.74,0.54,0.86,0.6,2,0.38,5,0.58,0.47,0.47,0.2,0.61,MEDIUM,67.0,36.7
0.62,0.66,0.67,0.58,0.83,1,0.09,3,0.64,0.67,0.78,0.9,0.62,MEDIUM,33.3,78.9
0.46,0.46,0.55,0.47,0.66,2,0.47,2,0.36,0.52,0.54,0.47,0.5,MEDIUM,61.2,36.6
0.4,0.4,0.46,0.66,0.46,5,0.18,3,0.33,0.3,0.67,0.38,0.54,HIGH,76.6,45.8
0.51,0.4,0.42,0.25,0.43,3,0.46,2,0.33,0.58,0.42,0.45,0.5,HIGH,73.7,36.5
0.6,0.74,0.39,0.81,0.74,2,0.29,2,0.94,0.86,0.63,0.69,0.78,MEDIUM,39.2,71.0
0.49,0.56,0.35,0.36,0.6,3,0.61,1,0.4,0.65,0.45,0.49,0.55,HIGH,70.7,42.3
0.4,0.4,0.43,0.41,0.25,5,0.7,4,0.3,0.3,0.57,0.2,0.5,HIGH,100.0,31.6
0.65,0.77,0.97,0.86,0.48,2,0.0,2,0.86,0.88,0.86,0.74,0.73,LOW,15.8,90.7
0.78,0.59,0.68,0.44,0.77,2,0.43,4,0.63,0.88,0.81,0.73,0.71,MEDIUM,44.5,78.1
0.86,0.98,0.91,0.82,0.93,0,0.17,0,0.84,0.91,0.81,0.88,0.9,LOW,7.2,78.2
0.57,0.7,0.88,0.54,0.54,3,0.51,1,0.7,0.51,0.58,0.67,0.5,MEDIUM,45.5,55.2
0.44,0.56,0.41,0.43,0.39,4,0.48,3,0.46,0.58,0.39,0.42,0.57,HIGH,83.5,34.6
0.43,0.51,0.64,0.61,0.56,3,0.31,4,0.53,0.48,0.52,0.77,0.5,HIGH,63.7,42.5
0.93,1.0,0.88,0.85,0.75,0,0.19,0,1.0,0.91,0.87,0.99,0.88,LOW,1.1,81.8
0.4,0.56,0.3,0.36,0.37,1,0.13,2,0.42,0.52,0.27,0.29,0.5,HIGH,74.7,23.2
0.5,0.4,0.3,0.42,0.52,2,0.47,2,0.59,0.35,0.44,0.48,0.52,HIGH,69.9,27.0
0.4,0.4,0.36,0.51,0.39,0,0.35,2,0.34,0.68,0.29,0.42,0.56,HIGH,68.8,45.5
0.67,0.61,0.69,0.44,0.95,2,0.27,1,0.74,0.73,0.72,0.3,0.79,LOW,31.3,50.7
0.94,0.99,1.0,0.66,0.91,0,0.17,0,0.8,0.87,0.86,1.0,0.75,LOW,2.9,77.8
0.74,0.99,0.86,0.84,0.64,1,0.0,1,0.76,1.0,0.79,0.79,0.79,LOW,15.8,76.3
0.57,0.49,0.56,0.63,0.34,3,0.31,4,0.65,0.45,0.39,0.42,0.52,HIGH,72.9,47.8
0.76,0.75,0.97,0.65,0.89,2,0.13,3,0.86,0.96,0.92,0.86,0.98,LOW,14.0,85.9
0.52,0.6,0.5,0.4,0.65,4,0.23,1,0.55,0.57,0.46,0.59,0.5,MEDIUM,52.5,43.8
0.87,0.87,0.96,0.96,0.79,0,0.0,0,0.85,0.88,1.0,1.0,0.9,LOW,0.0,76.8
0.7,0.69,0.76,0.65,0.85,4,0.26,4,0.72,0.78,0.54,0.48,0.75,LOW,39.0,89.4
0.8,1.0,0.77,0.86,0.76,1,0.37,2,0.82,0.92,0.85,0.78,0.79,LOW,18.7,68.5
0.64,0.44,0.66,0.42,0.66,5,0.74,6,0.6,0.69,0.54,0.57,0.67,HIGH,78.6,46.1
0.56,0.49,0.67,0.4,0.65,2,0.55,1,0.51,0.51,0.44,0.61,0.51,MEDIUM,49.1,62.8
0.4,0.4,0.58,0.42,0.35,4,0.5,2,0.3,0.3,0.25,0.37,0.5,HIGH,84.4,32.0
0.4,0.4,0.3,0.25,0.2,1,0.3,5,0.3,0.56,0.25,0.51,0.5,HIGH,100.0,35.7
0.6,0.62,0.3,0.39,0.52,3,0.47,6,0.48,0.63,0.28,0.78,0.6,HIGH,90.9,55.4
0.97,0.68,0.87,1.0,1.0,1,0.0,0,0.72,0.79,0.9,0.49,0.8,LOW,7.0,72.8
0.6,0.71,0.59,0.72,0.49,1,0.14,2,0.62,0.82,1.0,0.75,0.69,MEDIUM,38.7,54.9
0.5,0.58,0.45,0.45,0.47,2,0.43,1,0.77,0.72,0.73,0.43,0.56,MEDIUM,60.5,40.2
1.0,0.99,0.81,1.0,0.76,0,0.22,0,1.0,0.99,0.97,0.76,1.0,LOW,0.7,79.3
0.81,0.84,0.91,0.76,0.74,0,0.16,1,0.99,0.9,0.63,0.84,0.9,LOW,16.7,81.1
0.98,0.82,0.83,1.0,1.0,1,0.13,0,0.95,0.84,1.0,0.96,0.76,LOW,1.0,87.6
1.0,0.93,1.0,0.62,1.0,1,0.01,0,1.0,0.78,0.6,0.79,0.96,LOW,1.0,88.1
0.62,0.4,0.5,0.35,0.51,5,0.59,4,0.47,0.46,0.63,0.41,0.5,HIGH,80.4,46.9
0.4,0.4,0.3,0.25,0.31,1,0.35,2,0.3,0.46,0.45,0.2,0.5,HIGH,72.9,24.4
0.98,1.0,0.86,0.76,0.96,0,0.17,0,0.94,1.0,0.89,0.54,0.94,LOW,0.0,84.5
0.67,0.66,0.44,0.54,0.71,4,0.55,0,0.66,0.46,0.5,0.57,0.61,MEDIUM,58.3,46.2
0.53,0.52,0.56,0.63,0.61,5,0.32,3,0.7,0.4,0.79,0.47,0.63,HIGH,64.8,35.4
0.44,0.46,0.38,0.26,0.48,1,0.07,0,0.51,0.37,0.44,0.43,0.5,MEDIUM,53.7,37.0
0.75,0.74,0.47,0.57,0.67,2,0.14,1,0.68,0.33,0.69,0.71,0.74,MEDIUM,45.1,66.2
0.78,0.79,0.63,0.81,0.84,1,0.0,1,0.9,0.86,0.9,0.71,0.87,LOW,19.8,74.4
0.73,0.85,0.6,0.7,0.78,1,0.24,1,0.64,0.64,0.63,0.45,0.75,LOW,35.0,64.1
0.73,0.9,0.6,0.88,0.68,2,0.44,0,0.78,0.7,0.53,0.96,0.59,LOW,39.5,72.4
0.42,0.4,0.4,0.39,0.35,3,0.86,3,0.54,0.3,0.51,0.4,0.5,HIGH,89.4,37.1
0.4,0.59,0.75,0.58,0.5,3,0.06,3,0.74,0.51,0.52,0.52,0.52,MEDIUM,57.4,52.3
0.73,0.61,0.72,0.96,0.86,0,0.0,1,0.8,0.81,1.0,0.99,0.87,LOW,17.7,86.2
0.9,0.84,0.94,0.96,1.0,0,0.27,0,1.0,0.98,1.0,0.87,0.87,LOW,0.7,92.7
0.53,0.7,0.46,0.66,0.65,2,0.31,2,0.63,0.43,0.61,0.51,0.65,MEDIUM,50.0,46.5
0.6,0.6,0.38,0.68,0.58,6,0.53,4,0.41,0.51,0.7,0.58,0.5,HIGH,83.3,60.0
0.62,0.63,0.6,0.56,0.39,2,0.36,0,0.52,0.55,0.41,0.58,0.64,MEDIUM,43.8,53.3
0.49,0.52,0.52,0.5,0.63,4,0.31,2,0.42,0.68,0.59,0.77,0.5,MEDIUM,60.0,40.7
0.97,0.98,0.93,1.0,0.76,0,0.14,1,0.89,1.0,0.95,0.91,0.85,LOW,0.0,100.0
0.63,0.4,0.42,0.5,0.52,4,0.39,3,0.39,0.41,0.47,0.41,0.52,HIGH,74.8,39.9
0.4,0.4,0.3,0.25,0.2,7,0.5,3,0.3,0.3,0.25,0.2,0.5,HIGH,100.0,15.0
0.4,0.4,0.3,0.32,0.34,8,0.51,6,0.3,0.45,0.25,0.66,0.5,HIGH,100.0,30.0
0.51,0.52,0.45,0.57,0.61,1,0.53,4,0.53,0.61,0.41,0.43,0.53,HIGH,69.3,41.2
0.78,0.46,0.45,0.62,0.63,1,0.23,1,0.65,0.59,0.62,0.51,0.66,MEDIUM,34.6,59.4
0.63,0.88,0.57,0.69,0.66,4,0.39,1,0.68,0.76,0.72,0.74,0.69,MEDIUM,50.2,66.0
0.69,0.73,0.79,0.64,0.79,0,0.28,0,0.83,0.97,1.0,1.0,0.98,LOW,22.3,88.2
0.4,0.4,0.3,0.42,0.26,8,0.6,2,0.3,0.33,0.25,0.4,0.5,HIGH,100.0,31.6
0.4,0.4,0.3,0.25,0.2,6,0.9,2,0.3,0.3,0.25,0.2,0.5,HIGH,100.0,34.1
0.83,1.0,0.83,0.83,0.92,1,0.1,0,0.83,1.0,0.59,0.79,0.94,LOW,8.6,80.8
0.46,0.51,0.54,0.58,0.64,2,0.6,3,0.3,0.36,0.55,0.2,0.5,MEDIUM,61.8,34.9
1.0,1.0,0.79,0.81,0.73,0,0.2,0,1.0,0.8,0.98,0.67,0.89,LOW,6.8,81.2
0.4,0.4,0.3,0.27,0.2,7,0.42,4,0.3,0.3,0.25,0.32,0.5,HIGH,100.0,21.8
0.71,0.87,0.9,0.84,0.59,2,0.0,0,0.87,0.72,1.0,1.0,0.75,LOW,10.0,100.0
0.54,0.49,0.62,0.52,0.7,3,0.0,1,0.57,0.52,0.58,0.75,0.61,MEDIUM,39.8,58.4
0.91,0.66,0.73,0.52,0.61,0,0.0,2,0.81,0.68,0.77,0.77,0.82,LOW,21.9,48.2
0.45,0.4,0.34,0.44,0.35,3,0.65,6,0.33,0.5,0.33,0.38,0.5,HIGH,100.0,33.8
0.52,0.54,0.52,0.36,0.52,4,0.24,1,0.5,0.55,0.59,0.8,0.5,HIGH,60.6,52.8
0.63,0.86,0.4,0.68,0.77,4,0.33,0,0.64,0.55,0.72,0.61,0.79,MEDIUM,46.8,64.1
0.94,0.91,0.83,0.78,0.96,0,0.22,0,1.0,0.89,0.89,0.93,1.0,LOW,0.0,96.5
0.52,0.6,0.54,0.74,0.53,6,0.66,4,0.55,0.78,0.57,0.67,0.5,HIGH,85.9,50.0
0.61,0.82,0.51,0.69,0.66,2,0.35,3,0.63,0.52,0.63,0.57,0.66,MEDIUM,47.1,48.1
0.41,0.5,0.39,0.57,0.56,4,0.18,1,0.53,0.63,0.69,0.87,0.65,MEDIUM,52.1,46.2
0.58,0.63,0.53,0.63,0.39,5,0.58,1,0.62,0.47,0.49,0.51,0.64,MEDIUM,62.8,46.1
0.53,0.42,0.52,0.68,0.52,1,0.3,2,0.57,0.65,0.52,0.74,0.5,MEDIUM,45.5,62.5
0.77,1.0,0.71,0.83,1.0,0,0.07,1,0.81,1.0,0.99,0.98,0.88,LOW,6.6,80.0
0.64,0.41,0.51,0.75,0.49,0,0.33,2,0.58,0.68,0.43,0.7,0.53,MEDIUM,48.2,60.4
0.4,0.46,0.52,0.25,0.23,8,0.67,8,0.3,0.36,0.25,0.2,0.5,HIGH,100.0,11.0
0.61,0.66,0.67,0.68,0.61,2,0.15,1,0.65,0.72,0.43,0.35,0.64,MEDIUM,39.7,48.1
0.69,0.4,0.62,0.69,0.69,2,0.42,1,0.77,0.44,0.7,0.75,0.84,MEDIUM,40.0,63.3
0.77,0.68,0.63,0.78,0.83,4,0.02,0,0.74,0.96,0.7,0.75,0.71,LOW,35.1,78.3
0.92,0.83,0.7,1.0,0.54,1,0.0,1,0.86,0.79,0.83,0.76,0.7,LOW,16.0,89.2
0.96,0.95,0.87,1.0,0.71,0,0.04,0,1.0,0.96,0.8,1.0,1.0,LOW,0.0,86.4
0.79,0.73,0.69,0.79,0.62,0,0.16,0,0.79,0.95,0.87,0.52,0.75,LOW,13.0,66.7
0.61,0.93,1.0,0.57,0.85,0,0.26,1,0.97,1.0,0.8,0.73,0.6,LOW,13.4,72.5
0.4,0.4,0.3,0.59,0.65,4,0.23,2,0.46,0.59,0.55,0.44,0.5,MEDIUM,60.7,47.1
0.82,0.8,0.84,0.54,0.86,0,0.13,1,0.7,0.76,0.8,0.72,0.82,LOW,11.6,73.8
0.41,0.51,0.56,0.36,0.61,5,0.4,3,0.47,0.67,0.4,0.61,0.5,HIGH,73.6,30.0
0.48,0.88,0.48,0.54,0.49,6,0.39,1,0.42,0.57,0.43,0.83,0.51,MEDIUM,59.8,54.3
0.77,0.67,0.96,0.71,1.0,0,0.36,0,0.86,0.76,0.89,0.7,0.9,LOW,14.8,71.2
0.6,0.65,0.35,0.5,0.72,4,0.49,0,0.52,0.45,0.45,0.76,0.5,MEDIUM,57.2,27.5
1.0,0.93,0.8,0.97,0.84,1,0.0,0,0.91,0.83,1.0,0.97,0.85,LOW,4.1,93.5
